Temperature scan at fixed Delta (kT units)
------------------------------------------------------------
     T   eps(WT proxy)     eps(E26A)   eps(double)
   0.1          0.0000        0.0000        0.0001
   1.0          0.0000        0.1438        0.3932
   2.0          0.0000        0.3491        0.4700
   3.0          0.0000        0.4240        0.4864
   4.0          0.0000        0.4552        0.4923
   5.0          0.0000        0.4707        0.4950
   6.0          0.0000        0.4794        0.4965
   7.0          0.0000        0.4848        0.4975
   8.0          0.0000        0.4883        0.4981
   9.0          0.0000        0.4907        0.4985
  10.0          0.0001        0.4925        0.4988
[Finished in 203ms]
